type,name,res_id,src,value,fuzzy
error,access_error,0,"You try to bypass an access rule!
(Document type: %s)","Вы пытаетесь нарушить правила доступа!
(Модель: %s)",0
error,delete_workflow_record,0,You cannot delete a record with a running workflow.,Вы не можете удалять записи с запущенным рабочим процессом.,0
error,delete_xml_record,0,You are not allowed to delete this record.,Вы не можете удалить эту запись.,0
error,domain_validation_record,0,"The value of the field ""%s"" on ""%s"" is not valid according to its domain.","Значение поля ""%s"" в таблице ""%s"" не действует в соответствии с его домена.",0
error,foreign_model_exist,0,"Could not delete ""%s"" records because they are used on field ""%s"" of ""%s"".","Не могу удалить ""%s"" записей, поскольку они используются в поле ""%s"" из таблицы ""%s"".",0
error,foreign_model_missing,0,"The value of field ""%s"" on ""%s"" doesn't exist.","Значение поля ""%s"" в таблице ""%s"" отсутствует.",0
error,ir.action.keyword,0,Wrong wizard model!,Неправильный шаблон мастера,0
error,ir.action.report,0,The internal name must be unique by module!,Наименование модуля должно быть уникальным!,0
error,ir.attachment,0,The names of attachments must be unique by record!,Имена вложений должны быть уникальными!,0
error,ir.cron,0,Scheduled action failed,Запланированное действие не удалось выполнить,0
error,ir.cron,0,"The following action failed to execute properly: ""%s""
 Traceback: 

%s
","Следующие действия не возможно выполнить должным образом: ""%s""
 Отладочное сообщение:

%s
",0
error,ir.lang,0,decimal_point and thousands_sep must be different!,Десятичный разделитель и Разделитель тысяч должны быть разными!,0
error,ir.lang,0,Invalid Grouping!,Неверное Группировка!,0
error,ir.lang,0,The date format is not valid!,Неправильный формат даты!,0
error,ir.model,0,The model must be unique!,Модель должна быть уникальным!,0
error,ir.model.access,0,Only one record by model and group is allowed!,Разрешается только одна запись от модели и группы!,0
error,ir.model.access,0,You can not create this kind of document! (%s),Вы не можете создать такой документ! (%s),0
error,ir.model.access,0,You can not delete this document! (%s),Вы не можете удалить этот документ! (%s),0
error,ir.model.access,0,You can not read this document! (%s),Вы не можете прочитать этот документ! (%s),0
error,ir.model.access,0,You can not write in this document! (%s),Вы не можете сохранить этот документ! (%s),0
error,ir.model.data,0,"The triple (fs_id, module, model) must be unique!","(fs_id, модуль, модель) должен быть уникальным!",0
error,ir.model.field,0,The field name in model must be unique!,Наименование поля в шаблоне должно быть уникальным!,0
error,ir.module.module,0,"Missing dependencies %s for module ""%s""","Отсутствует(ют) модуль(и) %s для модуля ""%s""",0
